id	group_id	gene	lingeage	fudge	overwrites	varStart	var1	var2
B602L-UKR	B602L-SNP	B602L	UKR	0	yes	*	B602L-UKR1	B602L-UKR2
K145R	K145R	K145R	3.00	0	yes	*	!K145R-2	!K145R-3
