id	group_id	gene	lingeage	fudge	overwrites	print_lineage	varStart	var1	var2
B602L-6	B602L-SNP	B602L	6	0	all	True	*	B602L-UKR-1	B602L-UKR-2
K145R	K145R	K145R	3	0	all	True	*	&K145R-2	&K145R-3
